0,1
[308.5 236.5 110.7],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1096.png
[314.5 227.5 124. ],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1252.png
[239.5 215.5  96.8],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1264.png
[243.5 149.5 149.4],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1333.png
[267.5 237.5 109.6],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/143.png
[241.5 209.5 115. ],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1639.png
[257.5 120.5 138.4],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1782.png
[371.5 198.5 146.1],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/184.png
[300.5 189.5 146.1],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1888.png
[394.5 213.5 112.9],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1891.png
[384.5 238.5 111.2],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1917.png
[341.5 218.5 146.1],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/1957.png
[344.5 187.5 102.9],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/209.png
[297.5 218.5  92.2],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2287.png
[336.5 231.5 115. ],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/236.png
[320.5 199.5 122.9],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2426.png
[246.5 174.5 149.4],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2427.png
[292.5 204.5 127.3],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2428.png
[340.5 235.5 115. ],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2440.png
[317.5 247.5 104. ],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2453.png
[341.5 222.5 118.4],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2456.png
[373.5 246.5  97.2],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/247.png
[288.5 193.5 127.4],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2477.png
[332.5 230.5 112.9],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2485.png
[327.5 172.5 129.5],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2486.png
[248.5 131.5 129.6],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2495.png
[301.5 270.5 113. ],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2505.png
[250.5 226.5 105.3],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/251.png
[343.5 187.5 116.1],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2511.png
[310.5 117.5 148.3],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2513.png
[377.5 197.5 112.8],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2515.png
[269.5 240.5 110.7],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2522.png
[278.5 205.5 136.1],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2523.png
[248.5 206.5 136.2],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2527.png
[386.5 211.5 122.8],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/253.png
[263.5 147.5 133.9],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2557.png
[318.5 244.5 122.6],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2571.png
[303.5 177.5 130.6],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2575.png
[288.5 181.5 117.4],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2577.png
[277.5 226.5 102.8],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2578.png
[211.5 201.5  99.8],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/258.png
[359.5 158.5 148.3],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/2581.png
[290.5 199.5 117.1],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/272.png
[202.5 219.5 112.9],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/274.png
[322.5 184.5 117. ],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/276.png
[286.5 141.5 110.8],Z:/1st/colab_backup/FastGAN/Warsaw/1-fold/B/278.png
