0,1
[216.5 179.5 120.6],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06021d337.bmp
[209.5 151.5 118.3],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06021d756.bmp
[311.5 248.5 129.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06045d583.bmp
[264.5 238.5 128.3],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06045d584.bmp
[296.5 128.5 118.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06096d1379.bmp
[218.5 153.5 128.3],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06096d1381.bmp
[300.5 133.5 118.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06109d1474.bmp
[163.5 147.5 112.8],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06177d1136.bmp
[256.5  99.5 129. ],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06177d1386.bmp
[255.5 138.5 116.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06177d649.bmp
[309.5 162.5 118.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06246d1065.bmp
[196.5 131.5 126.1],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06246d615.bmp
[161.5 182.5 115.9],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06261d400.bmp
[245.5 148.5 111.7],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06261d600.bmp
[219.5 137.5 125. ],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06261d667.bmp
[245.5 174.5 122.8],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06278d563.bmp
[239.5 170.5 115.1],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06278d564.bmp
[264.5 116.5 120.6],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06291d131.bmp
[153.5 157.5 120.6],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06291d267.bmp
[218.5 122.5 127.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06291d571.bmp
[336.5 145.5 125. ],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06291d664.bmp
[207.5 149.5 126.1],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06296d1007.bmp
[195.5 132.5 125. ],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06296d1032.bmp
[230.5 147.5 128.3],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06296d597.bmp
[278.5 131.5 127.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06312d154.bmp
[216.5 153.5 120.5],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06312d157.bmp
[222.5 140.5 116.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06312d160.bmp
[252.5 134.5 128.3],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06312d161.bmp
[266.5 153.5 118.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06314d1062.bmp
[213.5 148.5 122.8],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06319d204.bmp
[110.5 132.5 127.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/A/fake/06319d207.bmp
