0,1
[156.5 167.5 150.6],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06792d22.bmp
[243.5 204.5 155. ],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06800d200.bmp
[238.5 215.5 132.3],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06806d82.bmp
[276.5 164.5 120.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06822d272.bmp
[332.5 217.5 150.6],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06822d332.bmp
[243.5 100.5 156.1],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06822d618.bmp
[201.5  87.5 111.8],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06868d156.bmp
[221.5 235.5 159.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06868d158.bmp
[179.5 224.5 145. ],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06868d160.bmp
[272.5 108.5 116.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06868d198.bmp
[163.5 159.5 148.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06881d87.bmp
[239.5 199.5 120.6],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06885d201.bmp
[239.5 151.5 151.7],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06902d56.bmp
[212.5 167.5 140.7],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06906d116.bmp
[290.5 227.5 149.5],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06915d196.bmp
[206.5 136.5 148.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06916d74.bmp
[211.5 113.5 111.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06957d171.bmp
[220.5 131.5 123.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/06957d174.bmp
[297.5 157.5 117.9],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07000d4.bmp
[140.5 189.5 138.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07016d133.bmp
[252.5  69.5 150.1],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07016d219.bmp
[235.5  62.5 146.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07019d154.bmp
[237.5 154.5 145.1],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07019d96.bmp
[305.5 178.5 123.7],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07024d1.bmp
[227.5 112.5 142.7],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07029d13.bmp
[180.5 134.5 158.3],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07029d19.bmp
[181.5 151.5 157.2],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07029d20.bmp
[271.5  71.5 139.4],Z:/2nd_paper/dataset/ND/BMP/Parallel_Model_output/B/fake/07042d9.bmp
