0,1
[261.5 144.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06547d274.png
[261.5  93.5 122.8],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06584d1141.png
[239.5 164.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06595d364.png
[231.5 163.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06595d365.png
[203.5 138.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06615d1051.png
[243.5 212.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06732d150.png
[195.5 183.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06733d17.png
[254.5  88.5 120.7],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06738d433.png
[211.5 156.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06738d567.png
[220.5 138.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06759d437.png
[242.5 166.5 125. ],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06761d159.png
[196.5 123.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06761d6.png
[195.5 120.5 120.6],Z:/2nd_paper/backup/NestedUVC_GAN_Attention/1-fold/test/A/A2B/250/06761d7.png
