0,1
[321.5 226.5 126.2],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0301_REAL_R_3.png
[298.5 206.5 106.4],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0301_REAL_R_9.png
[282.5 202.5 146.1],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0307_REAL_R_17.png
[289.5 210.5 136.2],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0310_REAL_R_11.png
[253.5 195.5 110.8],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0327_REAL_L_3.png
[288.5 215.5 108.7],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0329_REAL_L_19.png
[247.5 206.5 109.3],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0329_REAL_R_14.png
[289.5 213.5 117.5],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0329_REAL_R_9.png
[296.5 209.5 141.7],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0330_REAL_L_15.png
[305.5 221.5 140.6],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0330_REAL_L_17.png
[469.5 214.5 141.7],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0333_REAL_L_1.png
[420.5 205.5 141.7],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0333_REAL_L_11.png
[283.5 223.5 135.1],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0333_REAL_R_1.png
[312.5 193.5 138.4],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0333_REAL_R_13.png
[287.5 207.5 143.9],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0333_REAL_R_17.png
[312.5 162.5 149.4],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0345_REAL_L_7.png
[266.5 105.5 104.9],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/A/live/0351_REAL_L_15.png
