0,1
[281.5 222.5 112.8],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0286_REAL_L_2.png
[308.5 211.5 122.9],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0309_REAL_L_17.png
[256.5 252.5 109.3],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0309_REAL_R_20.png
[232.5 199.5 142.8],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0309_REAL_R_25.png
[272.5 178.5 139.5],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0309_REAL_R_29.png
[248.5 186.5 140.6],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0309_REAL_R_30.png
[385.5 211.5 143.9],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_L_1.png
[350.5 212.5 124. ],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_L_9.png
[395.5 227.5 130.6],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_1.png
[345.5 208.5 136.2],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_11.png
[376.5 193.5 124.1],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_13.png
[377.5 221.5 119.7],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_15.png
[394.5 193.5 122.9],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_17.png
[377.5 229.5 129.5],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_2.png
[376.5 196.5 124. ],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_3.png
[414.5 226.5 107.9],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_4.png
[381.5 209.5 141.7],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_5.png
[369.5 234.5 140.6],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0322_REAL_R_7.png
[314.5 184.5 108.1],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0335_REAL_R_11.png
[114.5 208.5 115.5],Z:/1st/Iris_dataset/Warsaw_labeling_iris_data/innerclass/Cycle_ROI/B/live/0380_REAL_R_13.png
